num,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,13.5,16.5,10.5,15.5,13,23,9,18,1,17,23,19,17,17,18
2,14,15,13,10,13,17,18,15,16,15,30,30,16,0.5,17
3,16,12,19,7.8,13,13,14,14,8,9,16,13,12,17,20.5
4,21,21,15,24,20.3,16,23.5,17,23,14,14,20,10,30,30
5,18.2,14.8,17.7,12.3,13.9,22.5,11.1,26.8,18.1,14.5,21.5,14.5,19.7,29.2,29.4
6,13,12.5,14.5,16.6,13.9,22.2,11.6,23.1,8.7,18.7,15.9,14.3,14,11.9,15.4
7,14,15,15.5,8,17,24,26,19,14,20,20,29,17,18,18
8,25,18,27,29,20,30,30,30,21,19,21,30,25,24,15
9,15.6,15.7,14,6,12,20,23,23.3,10,16.5,23.5,20,23,6.5,17.5
10,16,13,6,15,12,24,30,11,20,16,30,20,16,20,16
11,17.2,12.5,14.4,9.7,11.6,14.7,11,10.7,16.3,10.8,9,14.5,10.8,15,19
12,10.1,12.3,17,12.8,19.5,25.4,12.5,16.3,4,22.4,2.6,21.5,13,12.8,30
13,21,13,12.5,10,15,17,15,24,14,17,24,25,20,23,17
14,18.3,19.6,12.7,17.6,4.8,16.5,21.1,23,19.7,21.8,13,10.1,14,10.9,17.6
15,16.5,17.5,21.1,19.1,23.2,15.1,16.1,16.1,15.1,20.1,23.1,15.2,26.6,20.1,20.1
16,6.1,13,13,8.5,19,13,20,2,10,17,9,13,5,11.5,13.5
17,26,25.6,20.7,16.9,18.4,22,18,26,23.7,17.4,30,21.7,16,30,19
18,8.5,9,10.5,8.5,6.5,13,11.5,12.5,30,16,30,30,27,29,18
19,23,16.5,20,13.5,15,29,14.5,14.5,12.5,16.5,21.5,25,25,26,23
20,13,10,14,10,8,18,15,11,11,16,16,29,18,18,3
21,14.5,18,16,12.5,10.5,13,8.3,12,21.5,19.5,1,20,18.5,21,20
22,9.9,6.9,8.7,7.8,5.8,13.9,5.8,8.7,11.6,12.7,8,13,14.9,9.6,2.5
23,21,22,23,15,16,17,18.5,20.7,20,23.7,13,17,18.5,25,23
24,18.2,13.3,9.2,27,17.9,20.9,18,30,21.5,19.5,15.2,23.9,26.5,30,28.5
25,12.7,14.5,11.2,8.3,8.5,15.5,13.1,13.5,18.2,17.2,24.3,11,9.5,5,3.5
26,11.2,14.5,13.2,15.8,13.6,17.5,13.4,12.8,10.5,14.5,20.5,16.5,1,7.5,8.7
27,21,23.6,22.1,17.1,26.5,19,20,12,20,18.6,20.6,30,16.3,30,30
28,28.5,16.5,23.8,11.2,30,25.3,30,18.6,21.8,30,30,8,30,24,30
29,21,20,13,13,18,11,16,14,13,15,19,20,12,13,15
30,13,13,20,20,20,19,21,18,10,30,19,30,28,29,23
31,20.5,26,28.5,18.5,15,22,21,17,5,13,16,12,15,15,25
32,15,14,5,15,12,8,12,9,9,12,15,7,4,15,13
33,18.5,19,15,15.5,17,26,10.5,12.5,13.5,8.5,28.5,19,25.5,16,19.5
34,21.1,14.2,7.7,14.6,7.6,12.4,17.9,15.6,13.5,16.5,19.9,16.7,14.9,17.8,28.4
35,24.1,2.2,21.3,3.6,22.5,21.4,19.5,22.6,15.5,12.1,0.1,0.9,6.5,4.5,19
36,23.8,25.6,17.4,14.5,16.8,28.1,18.7,23.9,20.6,16.8,28,15,23,19.5,24.5
37,13,20,19,15,11,12,7,8,14,9,15,26,17,14,20
38,7.1,15.6,30,17.4,9.2,17.5,2,23.6,30,25.5,30,19.8,13.5,30,30
39,20,18,9,24,17,18,28,19.5,12.5,18,15,13,0,16,15
40,19.3,28.3,14,10.4,14.5,11.5,13.8,12,9,9,30,18,16,30,18.5
41,16,6.5,21,9.6,9.4,25,27.3,14.4,19.8,13.2,29,15.8,23.5,16,14
